ID;Gender;Ever_Married;Age;Graduated;Profession;Work_Experience;Spending_Score;Income;Family_Size;Var_1;Segmentation
464091;Male;Yes;74;Yes;Lawyer;0;High;164575;3;Cat_6;B
464535;Male;Yes;56;Yes;Lawyer;1;High;126156;2;Cat_6;A
463108;Male;Yes;59;Yes;Lawyer;7;High;91158;2;Cat_6;A
461356;Male;No;25;Yes;Entertainment;0;Low;103258;2;Cat_6;A
464570;Male;Yes;31;Yes;Doctor;0;Average;487589;2;Cat_6;A
464580;Male;No;27;No;Artist;8;Low;44930;4;Cat_6;A
465233;Male;Yes;57;Yes;Artist;0;Average;42359;4;Cat_6;B
467208;Female;Yes;39;Yes;Homemaker;;High;35200;2;Cat_6;A
459954;Male;Yes;27;Yes;Healthcare;8;Low;404174;2;Cat_6;B
460219;Female;Yes;51;Yes;Entertainment;8;Average;55901;2;Cat_6;A
460877;Female;Yes;47;No;Artist;0;Average;94869;5;Cat_6;B
460191;Female;No;33;Other;Healthcare;8;Low;372953;4;Cat_6;B
463742;Male;Yes;56;Yes;Artist;0;Average;50358;4;Cat_6;A
463691;Female;No;33;No;Homemaker;0;Low;49129;3;Cat_6;B
463250;Female;No;36;Yes;Doctor;0;Low;448320;2;Cat_6;B
463952;Male;Yes;51;No;Artist;4;Low;47264;3;Cat_4;A
461558;Male;Yes;45;Yes;Engineer;2;Average;95190;2;Cat_6;A
466567;Female;No;49;Yes;;1;Low;;1;Cat_6;B
465379;Male;No;30;No;Healthcare;0;Low;391271;4;Cat_6;A
463814;Female;No;26;No;Healthcare;6;Low;461994;3;Cat_5;B
466938;Male;Yes;63;Yes;Artist;8;Low;94698;1;Cat_6;A
460671;Male;Yes;35;No;Entertainment;8;Average;107867;4;Cat_3;B
462204;Female;No;19;No;Marketing;1;Low;119260;3;Cat_4;A
461671;Male;No;32;No;Healthcare;7;Low;398170;5;Cat_6;B
459384;Male;Yes;52;Yes;Artist;0;Average;88799;3;Cat_6;A
459905;Female;Yes;36;Yes;Artist;5;Low;94127;2;Cat_6;A
464734;Female;No;42;No;Entertainment;7;Low;64910;3;Cat_4;B
464125;Male;Yes;40;No;Doctor;0;Average;455088;2;Cat_3;B
467434;Male;No;39;Yes;Entertainment;0;Low;107364;3;Cat_1;B
460956;Female;Yes;47;Yes;Artist;1;Average;53433;4;Cat_3;A
465179;Female;Yes;61;Yes;Artist;1;High;66681;2;Cat_6;A
463338;Male;Yes;32;No;Entertainment;1;Low;66907;2;Cat_3;B
467066;Male;Yes;55;No;Artist;0;Low;82637;1;Cat_6;B
463845;Male;Yes;58;Yes;Artist;;Average;49668;1;Cat_6;B
459976;Female;No;38;Yes;Artist;0;Low;50307;1;Cat_6;B
461334;Male;Yes;63;Yes;Artist;0;High;81250;2;Cat_6;A
465108;Male;Yes;58;Yes;Doctor;1;Average;400855;2;Cat_6;A
462600;Male;Yes;30;No;Engineer;3;Average;105450;3;Cat_4;B
464144;Male;Yes;60;Yes;Artist;0;Average;52957;4;Cat_6;A
466911;Male;Yes;68;No;Executive;1;High;171268;7;Cat_6;B
462806;Male;Yes;52;No;Artist;0;Low;61687;3;Cat_4;A
463426;Male;Yes;38;No;Executive;0;High;129478;5;Cat_6;A
464065;Female;Yes;35;Yes;Healthcare;10;Low;469528;2;Cat_6;B
462979;Male;No;18;No;Doctor;1;Low;371132;2;Cat_6;B
462834;Male;Yes;30;Yes;Homemaker;3;Low;48222;2;Cat_1;B
460764;Male;No;86;No;Lawyer;1;Low;189186;1;Cat_6;B
466466;Female;;19;No;Healthcare;6;Low;367662;5;Cat_3;B
460185;Male;No;25;No;Healthcare;9;Low;373548;3;Cat_6;B
459749;Male;Yes;59;Other;Entertainment;;Low;52471;4;Cat_4;A
464406;Female;No;39;Other;Artist;0;Low;86764;1;Cat_6;A
467758;Female;Yes;50;Other;Doctor;1;Low;370873;;Cat_6;B
462059;Male;No;47;Other;Artist;1;Low;104265;1;Cat_6;A
467905;Male;Yes;43;Other;Executive;0;High;167487;3;Cat_6;B
461177;Male;Yes;36;No;Executive;8;Average;185001;4;Cat_1;B
460765;Male;Yes;80;No;Lawyer;1;Low;110569;1;Cat_6;B
465386;Male;No;36;Other;Artist;0;Low;95899;2;Cat_2;A
465827;Male;No;27;No;;2;Low;;7;Cat_4;B
462332;Female;Yes;37;Other;Artist;1;High;99842;2;Cat_7;A
464481;Male;Yes;46;Other;Executive;0;High;168734;3;Cat_6;A
461011;Male;Yes;55;No;Executive;1;High;144952;4;Cat_3;B
464749;Female;Yes;47;No;Engineer;9;Average;113981;4;Cat_4;B
461094;Female;No;28;Yes;Healthcare;1;Low;401472;3;Cat_3;B
462104;Male;Yes;39;No;Entertainment;9;Low;73581;2;Cat_3;B
464524;Female;Yes;27;No;Marketing;1;Low;145081;2;Cat_6;A
466295;Female;Yes;42;No;Engineer;0;Low;97863;;Cat_6;A
461787;Male;Yes;72;Yes;Artist;0;Average;62715;2;Cat_6;A
467857;Female;Yes;28;Yes;Engineer;0;Low;111929;2;Cat_6;A
460153;Male;No;35;Yes;Entertainment;8;Low;72444;5;Cat_6;A
465215;Male;Yes;39;Yes;Executive;9;High;123751;5;Cat_2;A
466746;Female;Yes;69;Yes;Lawyer;0;High;159430;2;Cat_6;A
464857;Male;No;18;No;Healthcare;6;Low;312817;4;Cat_4;B
459478;Male;Yes;46;Yes;Artist;;Low;80166;1;Cat_6;A
460723;Female;Yes;50;Yes;Engineer;1;High;116852;2;Cat_4;B
459853;Male;No;30;No;Executive;5;Low;159489;5;Cat_6;A
459390;Female;No;41;No;Artist;;Low;92970;2;Cat_6;B
460410;Female;No;39;Yes;Artist;3;Low;74794;4;Cat_6;B
463823;Female;No;29;No;Marketing;8;Low;130519;4;Cat_6;B
462008;Female;Yes;37;Yes;Artist;4;Low;59235;4;Cat_5;B
459750;Female;Yes;39;Yes;Engineer;0;Average;102557;2;Cat_6;A
459880;Female;Yes;48;Yes;Artist;0;Average;99304;5;Cat_7;A
459261;Female;No;32;Yes;Doctor;0;Low;471609;3;Cat_6;A
465656;Male;Yes;78;No;Lawyer;1;Low;194483;;Cat_6;B
465395;Female;Yes;43;No;Engineer;0;Average;104706;5;Cat_4;B
461631;Male;No;29;No;Marketing;8;Low;143166;5;Cat_6;A
464904;Female;Yes;28;No;Engineer;9;Average;119405;2;Cat_4;A
461740;Male;Yes;80;Yes;Lawyer;1;Low;106607;1;Cat_6;B
467092;Female;No;28;Yes;Healthcare;7;Low;440428;4;Cat_6;B
464173;Male;Yes;71;Yes;Artist;6;Average;72388;3;Cat_6;A
464972;Male;Yes;67;No;Lawyer;0;High;185877;9;Cat_4;A
467959;Female;No;26;No;Engineer;0;Low;107309;1;Cat_2;A
467688;Female;Yes;47;Yes;Engineer;0;Average;110173;2;Cat_6;A
460043;Female;Yes;43;Yes;Artist;2;Average;54128;2;Cat_6;B
466590;Female;No;27;Yes;Healthcare;0;Low;352234;4;Cat_6;A
461191;Female;Yes;45;Yes;Marketing;8;Low;140669;4;Cat_6;B
465662;Male;Yes;76;No;Executive;1;Low;158302;1;Cat_6;A
459231;Female;Yes;43;Yes;Artist;3;Average;55881;4;Cat_6;A
466495;Female;Yes;78;Yes;Lawyer;1;High;86508;2;Cat_6;B
459192;Male;Yes;35;Yes;Artist;3;Average;65023;3;Cat_6;A
465710;Female;No;49;Yes;Artist;1;Low;99691;1;Cat_6;A
460258;Female;No;25;Yes;Healthcare;1;Low;397459;5;Cat_6;B
462813;Male;Yes;37;No;Executive;0;Average;148873;5;Cat_6;A
463595;Female;No;32;No;Healthcare;1;Low;494012;5;;A
467768;Male;Yes;60;Yes;Doctor;0;Average;309892;2;Cat_6;A
465291;Female;Yes;45;Yes;Artist;5;Average;79647;3;Cat_6;A
462996;Female;Yes;49;Yes;Homemaker;9;Average;22614;3;Cat_6;A
463497;Male;No;32;Yes;Artist;0;Low;89929;5;Cat_6;B
465301;Female;Yes;40;Yes;Artist;0;Low;69325;3;Cat_3;B
464702;Male;Yes;59;No;Artist;2;Average;81775;2;Cat_4;A
459012;Male;Yes;48;Yes;Artist;3;Low;99790;5;Cat_6;B
465053;Male;Yes;82;Yes;Executive;0;High;176661;2;Cat_6;A
459420;Female;Yes;70;Yes;Lawyer;0;Low;85857;2;Cat_6;B
464166;Male;No;31;Yes;Artist;5;Low;104151;2;Cat_6;B
458987;Female;Yes;72;Yes;Lawyer;0;High;185247;2;Cat_6;A
467745;Male;Yes;50;Yes;Artist;3;Average;57021;4;Cat_6;A
464866;Female;No;23;No;Engineer;11;Low;111075;1;Cat_3;B
461081;Female;No;20;No;Healthcare;2;Low;416823;6;Cat_6;B
467896;Female;No;22;No;Healthcare;4;Low;374418;3;Cat_6;B
463991;Female;No;31;Yes;Engineer;8;Low;90043;1;Cat_6;A
466620;Female;Yes;36;Yes;Artist;7;Average;84215;2;Cat_6;A
462594;Male;Yes;52;No;Entertainment;;Average;68537;5;Cat_4;B
462206;Female;No;29;Yes;Artist;;Low;73803;1;Cat_4;B
460697;Male;Yes;40;Yes;Artist;4;Average;58900;4;Cat_6;A
467934;Female;No;40;Yes;Artist;1;Low;82119;1;Cat_6;A
460054;Male;Yes;38;Yes;Artist;;Low;98373;2;Cat_6;A
459576;Female;Yes;85;No;Lawyer;;Low;148936;;;A
467910;Female;No;21;No;Doctor;1;Low;499393;3;Cat_7;A
467335;Female;Yes;41;No;Engineer;4;Average;114336;2;Cat_6;B
460263;Male;Yes;40;Yes;Artist;0;Low;65448;2;Cat_6;B
459340;Male;Yes;53;Yes;Artist;1;Average;79973;3;Cat_6;B
465622;Female;Yes;42;Yes;Artist;5;Low;44909;2;Cat_6;A
459395;Male;Yes;42;No;Executive;8;Low;173665;2;Cat_6;B
467539;Male;Yes;48;Yes;Artist;;Average;96513;4;Cat_7;A
466574;Male;Yes;59;Yes;Artist;7;Low;51122;2;Cat_6;A
466544;Male;Yes;41;Yes;Executive;1;Average;102089;3;Cat_6;A
463610;Female;Yes;31;Yes;Artist;0;Average;51126;2;Cat_6;A
465539;Female;Yes;49;Yes;Artist;1;High;55984;5;Cat_6;B
459823;Male;Yes;67;Yes;Executive;1;Low;146432;2;Cat_6;A
467614;Male;Yes;35;No;Artist;4;Average;59705;2;Cat_6;B
459073;Female;No;26;Yes;Healthcare;0;Low;450022;3;Cat_6;A
466065;Male;;19;No;Healthcare;9;Low;433515;3;Cat_3;B
464863;Female;Yes;25;No;Engineer;6;Average;90793;8;Cat_4;B
460022;Female;Yes;39;Yes;Healthcare;4;Low;428319;2;Cat_6;A
459929;Male;Yes;63;Yes;Entertainment;0;Low;97622;2;Cat_6;A
466613;Male;No;23;No;Healthcare;8;Low;342435;3;Cat_6;B
461149;Female;No;23;No;Healthcare;0;Low;473622;3;Cat_3;B
466068;Female;Yes;53;Yes;Artist;2;Low;99376;1;Cat_6;A
461513;Male;No;33;Yes;Doctor;0;Low;468446;2;Cat_6;B
464761;Female;Yes;50;No;Engineer;;Average;98570;4;Cat_2;B
466236;Female;Yes;69;Yes;Engineer;0;Low;92061;2;Cat_4;B
459664;Male;No;37;Yes;Artist;2;Low;102861;1;Cat_6;B
461967;Female;No;20;No;Marketing;3;Low;145759;4;Cat_7;A
460516;Female;;85;No;Lawyer;0;High;102867;1;Cat_3;A
461710;Female;Yes;49;Yes;Doctor;1;Average;408650;4;Cat_6;A
462742;Male;No;18;No;Healthcare;0;Low;438134;3;Cat_3;B
459528;Female;Yes;52;Yes;Doctor;0;Average;489732;2;Cat_6;A
462691;Male;Yes;25;Other;Doctor;;Average;446029;2;Cat_4;B
462934;Male;Yes;56;No;Executive;;High;106521;2;Cat_6;A
465837;Male;No;62;Yes;;0;Low;;1;Cat_6;A
464613;Female;No;35;;Artist;0;Low;61370;3;Cat_6;B
467515;Male;Yes;28;Yes;Engineer;0;Average;92768;2;Cat_6;A
463429;Female;No;28;Yes;Artist;7;Low;75797;3;Cat_6;A
464024;Male;No;20;No;Healthcare;0;Low;491679;5;Cat_7;B
460691;Female;No;27;No;Homemaker;8;Low;31489;1;Cat_3;B
461825;Female;No;56;No;Engineer;;Low;95915;1;Cat_6;A
467271;Male;Yes;45;Yes;Artist;4;Average;82463;4;Cat_6;B
465634;Male;No;25;Yes;Healthcare;1;Low;481540;4;Cat_4;B
464801;Male;No;40;No;Marketing;1;Low;108239;1;Cat_4;B
459429;Female;Yes;25;Yes;Healthcare;;Low;303092;2;Cat_6;B
459888;Female;Yes;74;No;Lawyer;;High;93200;2;Cat_6;B
463467;Female;No;23;No;Healthcare;0;Low;497891;4;;B
462036;Female;Yes;67;Yes;Lawyer;0;High;93176;2;Cat_6;B
461282;Male;No;21;No;Healthcare;0;Low;346675;4;;B
460448;Female;No;38;Yes;Artist;9;Low;89246;1;Cat_3;A
464464;Male;No;28;No;Healthcare;0;Low;406216;4;Cat_2;A
462410;Female;No;32;No;Healthcare;1;Low;408184;5;Cat_7;B
467252;Female;No;33;Yes;;0;Low;;4;;B
459756;Female;Yes;56;No;Lawyer;1;High;104579;4;Cat_4;B
463789;Female;Yes;53;Yes;Artist;1;Low;61787;2;Cat_6;A
466947;Male;Yes;57;No;Executive;1;High;192556;5;Cat_6;A
464150;Female;Yes;59;Yes;Artist;0;Average;101214;3;Cat_6;A
465693;Female;Yes;25;Yes;Healthcare;1;High;375713;4;Cat_4;A
461670;Male;Yes;59;Yes;Artist;0;Average;81018;6;Cat_6;A
466768;Female;Yes;36;Yes;Artist;0;Low;49296;4;Cat_6;A
461550;Male;Yes;37;Yes;Entertainment;7;Low;66231;2;Cat_6;A
462438;Male;No;22;No;Doctor;1;Low;410135;3;Cat_2;B
460704;Male;Yes;43;Yes;Artist;1;Low;49469;2;Cat_6;B
464884;Male;Yes;41;Yes;Artist;1;Low;86597;2;Cat_4;A
467050;Female;No;21;No;Engineer;0;Low;98489;5;Cat_2;B
460738;Female;No;49;No;Engineer;1;Low;90133;;Cat_7;A
466176;Male;No;38;Yes;Doctor;8;Low;485506;1;Cat_2;B
459488;Male;Yes;47;No;Artist;;Average;49831;4;Cat_6;A
467773;Male;Yes;70;Yes;Lawyer;1;High;150760;3;Cat_6;A
465425;Female;No;31;No;Engineer;1;Low;93266;4;Cat_6;B
462318;Female;Yes;82;No;Lawyer;0;Average;130909;2;Cat_6;A
466078;Female;Yes;51;No;Executive;;Low;188010;1;Cat_6;A
460792;Female;No;42;No;Homemaker;11;Low;21191;;Cat_6;A
460197;Male;No;38;Yes;Artist;8;Low;78692;3;Cat_2;A
459375;Male;Yes;18;No;Executive;0;High;143697;4;Cat_6;A
463862;Male;Yes;50;Yes;Artist;6;Average;47370;3;Cat_6;A
460144;Female;No;46;Yes;Doctor;1;Low;482023;;Cat_3;A
462721;Female;Yes;72;No;Lawyer;1;High;130824;3;Cat_6;B
459637;Female;No;33;No;Engineer;;Low;108386;4;Cat_6;A
465809;Female;No;25;No;Homemaker;1;Low;43249;7;Cat_4;B
466915;Female;Yes;75;No;Entertainment;2;High;87571;2;Cat_2;B
467343;Male;No;72;Yes;Artist;1;Low;104499;1;Cat_6;B
466268;Female;Yes;72;Yes;Artist;0;Average;80353;3;Cat_4;A
464868;Male;Yes;36;Yes;Entertainment;6;Low;70178;6;Cat_4;A
464038;Male;Yes;40;Yes;Artist;1;Low;46847;2;Cat_6;A
460176;Female;No;28;Yes;Entertainment;0;Low;68871;4;Cat_6;A
462161;Female;No;28;Yes;Doctor;0;Low;425663;3;Cat_6;B
464841;Male;;19;No;Entertainment;0;High;67057;3;Cat_4;B
464893;Male;Yes;43;Yes;Artist;0;Low;91226;2;Cat_4;B
464443;Female;Yes;35;Yes;Artist;1;Average;99386;2;Cat_6;B
467619;Male;Yes;65;Yes;Lawyer;1;High;146104;2;Cat_6;B
465974;Male;Yes;52;Yes;Executive;7;High;100309;4;Cat_4;A
462075;Female;No;40;Yes;Artist;1;Low;101604;1;Cat_6;B
459494;Female;Yes;69;No;Engineer;9;Low;116524;3;Cat_6;A
466921;Female;No;22;No;Healthcare;3;Low;309960;3;Cat_6;B
463544;Male;Yes;47;Yes;Executive;1;Average;180924;4;Cat_6;A
461167;Male;Yes;29;Yes;Marketing;1;High;106357;2;Cat_3;A
467364;Male;Yes;46;Yes;Artist;1;Average;63423;3;Cat_3;A
462408;Male;No;32;Yes;Artist;1;Low;59709;2;Cat_6;A
466224;Female;No;38;Yes;Healthcare;0;Low;388782;1;Cat_2;A
465151;Male;Yes;59;Yes;Artist;0;Low;89382;1;Cat_6;B
467216;Female;No;26;Yes;Entertainment;1;Low;78134;1;Cat_6;B
460586;Male;No;26;Yes;Healthcare;1;Low;341197;2;Cat_3;A
461197;Male;No;28;No;Marketing;0;Low;137531;1;Cat_3;B
462776;Female;Yes;53;Yes;Engineer;1;Average;98284;3;Cat_6;A
465058;Female;No;43;;Entertainment;;Low;52350;1;Cat_6;B
464088;Male;No;27;No;Doctor;1;Low;420101;3;Cat_6;B
459471;Female;No;32;No;Artist;;Low;109723;8;Cat_6;A
464695;Male;No;26;No;Engineer;0;Low;112534;4;Cat_4;B
462331;Female;No;31;No;Entertainment;0;Low;92285;2;Cat_6;B
466523;Male;Yes;39;Yes;Executive;1;High;100898;3;Cat_3;B
465337;Female;Yes;43;No;Engineer;1;Low;104227;3;Cat_7;A
460834;Male;Yes;25;No;Doctor;1;Low;349844;2;Cat_1;A
466824;Male;Yes;40;Yes;Artist;3;High;43176;3;Cat_6;A
461607;Female;Yes;40;Yes;Entertainment;7;Average;80949;2;Cat_3;B
465091;Male;Yes;63;Yes;Entertainment;;Average;42921;3;Cat_6;A
459532;Female;Yes;27;Yes;Healthcare;;Low;473124;2;Cat_6;B
466999;Male;No;27;Yes;Healthcare;1;Low;490800;3;Cat_6;B
466597;Female;No;19;No;Healthcare;1;Low;418856;2;Cat_6;B
464075;Female;Yes;86;Yes;Lawyer;0;High;168272;2;Cat_6;B
463394;Male;Yes;41;Yes;Marketing;;High;120225;2;Cat_6;B
462163;Female;Yes;27;Yes;Artist;4;Average;88481;2;Cat_3;A
463895;Female;Yes;70;No;Doctor;0;Average;348654;2;Cat_6;B
464767;Female;Yes;53;No;Engineer;8;Average;117899;4;Cat_4;B
464763;Female;Yes;49;No;Engineer;;Average;90127;4;Cat_4;B
460718;Male;Yes;55;No;Executive;3;Low;101305;;Cat_4;B
461989;Female;;57;Yes;Engineer;0;Average;105424;4;Cat_2;A
466374;Male;Yes;83;No;Lawyer;;Low;167012;1;Cat_4;B
463738;Male;Yes;43;No;Executive;0;High;188639;4;Cat_6;A
465967;Male;Yes;36;No;Doctor;6;Low;443204;3;Cat_6;A
462260;Male;Yes;74;Yes;Lawyer;0;Low;169960;2;Cat_6;A
467234;Female;No;30;No;Homemaker;0;Low;47852;4;Cat_6;B
466573;Female;No;37;Yes;Artist;5;Low;96373;2;Cat_6;B
463229;Female;No;22;No;Marketing;0;Low;148781;1;Cat_5;B
459768;Male;No;19;No;Healthcare;0;Low;427300;4;Cat_6;B
462541;Male;Yes;70;Yes;Engineer;4;High;93783;2;Cat_6;B
467714;Male;Yes;89;Yes;Lawyer;13;Low;107215;1;Cat_6;A
467730;Male;No;18;No;Healthcare;;Low;428112;4;Cat_6;B
459474;Male;No;25;Yes;Doctor;6;Low;406527;1;Cat_2;B
460093;Female;No;45;Yes;Artist;4;Low;49189;1;Cat_3;A
467865;Female;No;35;Yes;Artist;3;Low;58689;1;Cat_4;A
465758;Female;Yes;37;No;Engineer;7;Low;101318;1;Cat_4;B
464184;Female;Yes;39;No;Engineer;4;Average;110752;2;Cat_6;B
462618;Female;No;32;Yes;Healthcare;1;Low;374713;5;Cat_4;B
464226;Female;Yes;62;Yes;Artist;2;Average;99781;3;Cat_6;A
465432;Female;Yes;58;Yes;Engineer;0;Average;90712;4;Cat_4;B
464087;Female;No;32;No;Engineer;;Low;90727;4;Cat_6;A
466627;Male;No;25;No;Healthcare;0;Low;316916;5;Cat_6;A
467380;Female;Yes;56;Yes;Artist;0;Average;83997;4;Cat_6;A
465842;Female;No;36;Yes;Entertainment;10;Low;98347;2;Cat_6;A
464622;Female;No;30;No;Healthcare;8;Low;410555;3;Cat_6;A
462083;Male;No;19;No;Healthcare;1;Low;468964;5;Cat_6;B
460910;Male;No;27;Yes;Healthcare;0;Low;471766;2;Cat_6;A
460255;Female;No;38;Yes;Doctor;14;Low;413040;1;Cat_6;A
460109;Male;Yes;46;Yes;Artist;8;Average;63829;2;Cat_6;A
464306;Male;No;29;Yes;Artist;3;Low;50087;1;Cat_6;B
466835;Male;Yes;51;No;Entertainment;1;Average;99997;4;Cat_7;B
465192;Male;Yes;55;No;Artist;0;Low;89305;1;Cat_6;A
463380;Female;Yes;69;Yes;Engineer;1;Low;94177;1;Cat_3;A
462391;Female;No;26;No;Healthcare;1;Low;433945;8;Cat_7;A
467086;Female;Yes;83;Yes;Lawyer;0;Low;87076;3;Cat_6;A
460306;Female;No;39;Yes;Healthcare;9;Low;459787;1;Cat_6;B
460752;Male;Yes;35;Yes;Artist;9;Low;64209;1;Cat_6;A
467264;Male;Yes;19;No;Marketing;2;High;122445;5;Cat_6;A
461646;Female;Yes;60;Yes;Artist;;High;69065;4;Cat_6;A
463570;Male;Yes;35;Yes;Artist;;Average;97205;4;Cat_6;A
465277;Female;No;53;Yes;Engineer;;Low;114279;1;Cat_6;B
467426;Female;Yes;86;No;Lawyer;;Low;110607;;Cat_6;B
466258;Female;No;29;No;Healthcare;1;Low;372709;3;Cat_6;B
463719;Female;No;26;No;Doctor;0;Low;397637;1;Cat_6;B
460032;Male;No;36;Yes;Engineer;8;Low;97192;1;Cat_6;A
465175;Female;No;22;No;Homemaker;0;Low;40214;4;Cat_6;B
466610;Male;No;19;No;Marketing;0;Low;109323;5;Cat_6;A
459036;Female;Yes;20;Yes;Lawyer;1;Average;189784;3;Cat_3;A
464047;Male;No;43;Yes;Healthcare;3;Low;435450;3;Cat_6;B
459496;Female;No;42;Yes;Artist;;Low;68104;3;Cat_6;A
459997;Male;No;43;Yes;Entertainment;1;Low;72464;2;Cat_4;A
463382;Female;Yes;50;Yes;Engineer;4;High;99262;3;Cat_6;B
460967;Male;No;25;Yes;Entertainment;1;Low;83530;2;Cat_6;A
465094;Male;Yes;61;No;Artist;1;High;86308;2;Cat_6;B
461229;Female;Yes;28;Yes;Healthcare;0;Average;453127;2;Cat_6;A
466442;Male;No;38;Yes;Artist;1;Low;97150;1;Cat_6;B
464527;Male;No;25;No;Executive;12;Low;182809;3;Cat_6;A
463560;Female;No;18;No;Healthcare;9;Low;413318;5;Cat_4;B
460011;Male;Yes;43;Yes;Entertainment;1;Average;83521;5;Cat_5;A
467207;Female;No;27;Yes;Artist;8;Low;80807;1;Cat_6;B
465177;Female;No;60;Yes;Entertainment;1;Low;53864;2;Cat_6;B
467531;Male;Yes;75;Yes;Lawyer;2;Low;113571;1;Cat_6;B
465409;Female;No;31;No;Doctor;;Low;486137;4;Cat_6;B
462842;Male;No;23;No;Doctor;6;Low;361739;4;Cat_2;B
462124;Male;No;36;Yes;Artist;8;Low;58108;1;Cat_6;A
